Author,Line
Борис Рыжий,и как это лучше сказать:
Дмитрий Пригов,На меня страна
Дмитрий Пригов,А в общем-то — судьбы игрушка
Борис Рыжий,мая второго дня.
Борис Рыжий,в свете всех светофоров и фар.
Дмитрий Пригов,"А уж как, едрена мать"
Дмитрий Пригов,Но он не поддался и на эту хитрость
Борис Рыжий,лучше рылом в грязь.
Дмитрий Пригов,"Случайность вроде бы, казалось"
Дмитрий Пригов,Сам немножечко поел
Борис Рыжий,оттуда музыка слышна.
Борис Рыжий,"Господи, это я"
Дмитрий Пригов,"Ну, пихаться — там куда ни шло"
Борис Рыжий,"трамваи едут по нутру,"
Дмитрий Пригов,"Расскажи-ка мне скорей,"
Дмитрий Пригов,И Лермонтова в очередь сию
Дмитрий Пригов,Оттого что наверно устал
Борис Рыжий,Пусть опустеют небеса.
Дмитрий Пригов,Вставать с утра на беспощадный зов
Дмитрий Пригов,Вот ведь холодно немыслимо
Дмитрий Пригов,Зверь древнеримского стиха
Дмитрий Пригов,"Чиста, прозрачна и густа"
Борис Рыжий,"Как же мало ты прожил на свете,"
Дмитрий Пригов,"Вкуса полная и сытости,"
Борис Рыжий,Ты папиросу достаёшь
Дмитрий Пригов,Он воскричал б из жизни давней:
Дмитрий Пригов,Крылатым там каким-то
Борис Рыжий,"колесе обозренья, но понять невозможно:"
Борис Рыжий,"вы лучше, вы сложны."
Дмитрий Пригов,"А он там молодой, едрена мать"
Дмитрий Пригов,"Заметил я, как тяжело народ в метро спит"
Дмитрий Пригов,Вот я курицу зажарю
Дмитрий Пригов,Уж не ангелы ли кушают ее
Борис Рыжий,"Что ещё, Иринушка, не знаю,"
Борис Рыжий,"где в синих лужах ягоды рябины,"
Борис Рыжий,Из окошка взгляну на газон
Борис Рыжий,И ты поморщился от боли.
Дмитрий Пригов,Целу курицу сгубила
Дмитрий Пригов,"Мальчик, мальчик, грамотей,"
Борис Рыжий,"Где и с кем, и когда это было,"
Дмитрий Пригов,"Дяденька мой милый,"
Борис Рыжий,"Только пар, только белое в синем"
Дмитрий Пригов,А перед тем — преклонный возраст
Дмитрий Пригов,Не помнят
Борис Рыжий,зазвонит - суета.
Борис Рыжий,"обхвативши руками коленки,"
Борис Рыжий,больше никогда.
Дмитрий Пригов,А завтра — может быть решетка
Дмитрий Пригов,А сам окошко отворю
Борис Рыжий,"шататься, ту, которой навсегда"
Борис Рыжий,"горит полночная звезда,"
Дмитрий Пригов,"Ах, неужто ль у природы"
Дмитрий Пригов,Пока Пушкин над долгом страдал
Дмитрий Пригов,"Да и лежащий, и сидящий"
Борис Рыжий,когда люди сгорали дотла.
Борис Рыжий,"(Дочитаю печальную книгу,"
Борис Рыжий,"но вычурной и артистичной позы,"
Борис Рыжий,я позабуду сказочный Свердловск
Дмитрий Пригов,Четвертьфабрикат какой-нибудь
Дмитрий Пригов,А что нам эта грязь — нищтяк!
Дмитрий Пригов,"Гиб и страдал! — За то, за то"
Дмитрий Пригов,"Скажем, жизни я есть санитар"
Дмитрий Пригов,Участь определена
Борис Рыжий,Тюрьма стеной окружена.
Дмитрий Пригов,А теперь вот чегой-то устал
